subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_type	object_category	object_label	comment	author_id	mapping_provider	mapping_date
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:maximumDistanceAboveSurfaceInMeters	rdf property	dwc:Event	Maximum Distance Above Surface In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:locationRemarks	Location Remarks	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:locationRemarks	rdf property	dwc:Event	Location Remarks	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:decimalLatitude	Decimal Latitude	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:decimalLatitude	rdf property	dwc:Event	Decimal Latitude	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:decimalLongitude	Decimal Longitude	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:decimalLongitude	rdf property	dwc:Event	Decimal Longitude	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:geodeticDatum	Geodetic Datum	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:geodeticDatum	rdf property	dwc:Event	Geodetic Datum	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:coordinateUncertaintyInMeters	rdf property	dwc:Event	Coordinate Uncertainty In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:coordinatePrecision	Coordinate Precision	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:coordinatePrecision	rdf property	dwc:Event	Coordinate Precision	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:pointRadiusSpatialFit	Point Radius Spatial Fit	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:pointRadiusSpatialFit	rdf property	dwc:Event	Point Radius Spatial Fit	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:footprintWKT	Footprint WKT	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:footprintWKT	rdf property	dwc:Event	Footprint WKT	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:footprintSRS	Footprint SRS	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:footprintSRS	rdf property	dwc:Event	Footprint SRS	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:footprintSpatialFit	Footprint Spatial Fit	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:footprintSpatialFit	rdf property	dwc:Event	Footprint Spatial Fit	Only takes first event (assumed to be collecting event). Convert Integer to Double param	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:georeferenceRemarks	Georeference Remarks	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:georeferenceRemarks	rdf property	dwc:Event	Georeference Remarks	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:georeferenceSources	Georeference Sources	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:georeferenceSources	rdf property	dwc:Event	Georeference Sources	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:georeferenceProtocol	Georeference Protocol	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:georeferenceProtocol	rdf property	dwc:Event	Georeference Protocol	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:occurrenceID	Occurrence ID	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:occurrenceID	rdf property	dwc:Occurrence	Occurrence ID	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
