subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dwc:stateProvince	State Province	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""State"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:stateProvince	State Province	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""Province"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:county	County	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""County"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:municipality	Municipality	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""Municipality"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:locality	Locality	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/localityText/value	Value	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:minimumElevationInMeters	Minimum Elevation In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/altitude/measurementOrFactAtomised/lowerValue/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:minimumElevationInMeters	Minimum Elevation In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/altitude/measurementOrFactText/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:maximumElevationInMeters	Maximum Elevation In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/altitude/measurementOrFactAtomised/upperValue/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:maximumElevationInMeters	Maximum Elevation In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/altitude/measurementOrFactText/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/height/measurementOrFactAtomised/lowerValue/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/height/measurementOrFactAtomised/upperValue/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:minimumDepthInMeters	Minimum Depth In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/depth/measurementOrFactAtomised/lowerValue/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:minimumDepthInMeters	Minimum Depth In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/depth/measurementOrFactText/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:maximumDepthInMeters	Maximum Depth In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/depth/measurementOrFactAtomised/upperValue/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:maximumDepthInMeters	Maximum Depth In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/depth/measurementOrFactText/value	Value	rdf property	Gathering	"Tries to parse string to number with regex ""((-\\s?)?\\d+([.,]\\d+)?)\\s*m\\.?(eter)?(tr?.?)?(\\sm.?)?"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:locationRemarks	Location Remarks	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:gathering/areaDetail/value	Value	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:verbatimCoordinates	Verbatim Coordinates	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesUTM/uTMText	U Tmtext	rdf property	CoordinatesLatLong		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
